,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,last_review,review_scores_rating
155,Brooklyn,House,Entire home/apt,6,1.5,3,4,Real Bed,295,3,33,79,266,2018-02-19,96
156,Manhattan,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,235,6,30,134,19,2017-11-22,92
157,Manhattan,Apartment,Entire home/apt,4,1,1,3,Real Bed,125,1,730,155,354,2018-02-22,88
158,Manhattan,Apartment,Entire home/apt,4,1,1,3,Real Bed,225,1,15,323,84,2018-01-14,94
159,Brooklyn,House,Private room,4,2,1,2,Real Bed,99,2,21,60,310,2018-02-23,98
160,Manhattan,Apartment,Entire home/apt,6,1,1,5,Real Bed,170,2,20,354,144,2018-01-02,95
161,Brooklyn,Apartment,Entire home/apt,9,2.5,4,6,Real Bed,400,2,30,185,10,2017-07-24,96
162,Manhattan,Apartment,Entire home/apt,2,1,1,2,Pull-out Sofa,170,7,30,31,11,2017-08-14,90
163,Manhattan,Apartment,Entire home/apt,3,1,,2,Real Bed,100,4,365,0,25,2011-12-10,97
164,Brooklyn,Apartment,Entire home/apt,3,1,1,2,Real Bed,149,5,50,3,36,2017-07-16,98
165,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,75,2,1095,365,3,2010-08-24,80
166,Queens,Bed and breakfast,Private room,3,1,1,1,Real Bed,125,2,365,342,14,2018-01-02,98
167,Manhattan,Apartment,Entire home/apt,2,1,1,1,Real Bed,369,3,365,179,0,,0
168,Brooklyn,Apartment,Private room,2,1,1,1,Real Bed,90,1,365,0,9,2011-09-18,91
169,Manhattan,Apartment,Entire home/apt,4,1,1,2,Real Bed,150,5,30,50,21,2017-08-15,99
170,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,85,3,120,310,36,2017-08-17,94
171,Brooklyn,House,Private room,2,0,1,1,Real Bed,60,3,730,325,53,2017-10-04,95
172,Manhattan,Apartment,Entire home/apt,1,1,0,1,Real Bed,185,4,365,84,99,2018-01-26,93
173,Manhattan,Apartment,Entire home/apt,3,1,1,3,Real Bed,125,2,28,305,116,2017-12-17,92
