,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price
4062,Manhattan,Apartment,Private room,1,1,1,1,Airbed,75
4070,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,119
4091,Manhattan,Apartment,Private room,1,1,1,1,Futon,45
4112,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,80
4123,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,59
4124,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,40
4162,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,165
4194,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,57
4200,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,64
4234,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,80
4235,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,87
4260,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,80
4272,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,80
4275,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,90
4284,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,55
4301,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,62
4305,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,91
4323,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,99
4390,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,85
4393,Manhattan,House,Private room,1,1,1,1,Pull-out Sofa,179
4406,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,45
4447,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,95
4455,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,75
4485,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,70
4532,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,125
4550,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,98
4571,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,59
4586,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,85
4587,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,300
4593,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,69
4627,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,55
4645,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,55
4673,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,65
4721,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,119
4754,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,95
4757,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,500
4807,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,90
4820,Manhattan,Bed and breakfast,Private room,1,1,1,1,Real Bed,59
4875,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,60
4955,Manhattan,Apartment,Private room,1,1,1,1,Futon,100
4965,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,125
4984,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,65
5035,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,68
5064,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,55
5066,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,89
5104,Manhattan,Apartment,Private room,1,1,1,1,Airbed,65
5121,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,65
5145,Manhattan,Apartment,Private room,1,1,1,1,Pull-out Sofa,65
5211,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,200
5230,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,70
5263,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,129
5323,Manhattan,Townhouse,Private room,1,1,1,1,Real Bed,85
5328,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,65
5358,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,65
5399,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,78
5441,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,100
5478,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,28
5503,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,72
5579,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,100
5595,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,50
5666,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,70
5683,Manhattan,Apartment,Private room,1,1,1,1,Futon,80
5693,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,45
5695,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,37
5698,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,130
5744,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,50
5765,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,125
5773,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,79
5775,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,80
5787,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,95
5789,Manhattan,Apartment,Private room,1,1,1,1,Futon,99
5798,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,79
5860,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,85
5875,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,99
5923,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,69
6012,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,115
6014,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,80
6062,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,100
6068,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,22
6069,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,30
6101,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,84
6113,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,139
6115,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,45
6191,Manhattan,Apartment,Private room,1,1,1,1,Airbed,198
6223,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,129
6270,Manhattan,Hostel,Private room,1,1,1,1,Real Bed,82
6286,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,140
6298,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,75
6316,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,85
6352,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,80
6401,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,62
6440,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,45
6448,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,30
6459,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,80
6463,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,60
6513,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,55
6537,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,75
6558,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,85
6575,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,79
6598,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,104
6651,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,200
6673,Manhattan,Apartment,Private room,1,1,1,1,Airbed,35
6674,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,125
6677,Manhattan,Apartment,Private room,1,1,1,2,Real Bed,99
6690,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,77
6702,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,69
6703,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,70
6719,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,72
6743,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,170
6748,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,70
6752,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,115
6788,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,99
6810,Manhattan,House,Private room,1,1,1,1,Real Bed,90
6868,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,160
6873,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,129
6919,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,90
6920,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,125
7016,Manhattan,Apartment,Private room,1,1,1,1,Pull-out Sofa,130
7078,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,49
7116,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,299
7119,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,95
7128,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,36
7152,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,70
7180,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,135
7192,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,170
7265,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,68
7271,Manhattan,Bed and breakfast,Private room,1,1,1,1,Real Bed,85
7319,Manhattan,Apartment,Private room,1,1,1,1,Couch,55
7357,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,100
7378,Manhattan,Apartment,Private room,1,1,1,1,Airbed,119
7435,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,59
7527,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,60
7535,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,38
7541,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,89
7558,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,88
7560,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,53
7574,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,89
7582,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,51
7585,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,100
7587,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,100
7600,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,275
7603,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,150
7620,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,45
7676,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,150
7731,Manhattan,Loft,Private room,1,1,1,1,Real Bed,110
7752,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,35
7841,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,80
7893,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,92
7898,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,105
7903,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,105
7904,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,57
7905,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,100
7980,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,65
8060,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,130
8084,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,29
8107,Manhattan,Apartment,Private room,1,1,1,1,Futon,200
8138,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,110
8194,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,60
8211,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,200
8244,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,120
8272,Manhattan,Apartment,Private room,1,1,1,1,Real Bed,200
