,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price
5617,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,60
5668,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,50
5686,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,65
5702,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,68
5705,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,100
5709,Brooklyn,Apartment,Private room,1,1.0,1,1,Futon,60
5713,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,75
5723,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,65
5726,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,75
5751,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,75
5783,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,40
5828,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,75
5838,Brooklyn,Loft,Private room,1,1.0,1,1,Real Bed,40
5859,Brooklyn,Apartment,Private room,1,1.0,1,1,Futon,120
5893,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,60
5896,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,60
5904,Brooklyn,Apartment,Private room,1,1.0,1,1,Futon,180
5922,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,50
5924,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,70
5940,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,60
5959,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,27
5998,Brooklyn,Apartment,Private room,1,1.0,1,1,Futon,90
6063,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,55
6083,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,65
6096,Brooklyn,Apartment,Private room,1,1.0,1,1,Airbed,250
6145,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,62
6179,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,75
6189,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,150
6190,Brooklyn,Loft,Private room,1,1.0,1,1,Real Bed,50
6236,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,69
6254,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,53
6267,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,75
6305,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,38
6336,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,105
6345,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,60
6346,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,49
6353,Brooklyn,Loft,Private room,1,1.0,1,1,Real Bed,125
6362,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,50
6369,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,150
6389,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,35
6391,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,80
6418,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,55
6441,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,90
6461,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,59
6521,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,65
6571,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,50
6654,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,45
6663,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,49
6675,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,48
6686,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,70
6712,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,45
6775,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,75
6812,Brooklyn,Loft,Private room,1,1.0,1,1,Real Bed,75
6814,Brooklyn,Loft,Private room,1,1.0,1,1,Real Bed,75
6874,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,40
6892,Brooklyn,Loft,Private room,1,1.0,1,1,Real Bed,50
6895,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,72
6896,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,60
6918,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,50
6943,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,50
6949,Brooklyn,Loft,Private room,1,1.0,1,1,Real Bed,55
6957,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,47
6988,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,95
6991,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,120
7064,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,60
7113,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,40
7129,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,60
7141,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,45
7182,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,65
7198,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,29
7204,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,65
7206,Brooklyn,Dorm,Private room,1,1.0,1,1,Real Bed,65
7253,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,25
7268,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,52
7326,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,50
7362,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,95
7366,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,65
7368,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,35
7388,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,60
7418,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,70
7426,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,60
7430,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,100
7439,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,80
7442,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,75
7450,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,48
7474,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,60
7524,Brooklyn,House,Private room,1,1.0,1,1,Real Bed,52
7525,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,200
7545,Brooklyn,Apartment,Private room,1,1.0,1,1,Real Bed,80
